20:17:38 - SelfDrivingLogger - INFO - Connected to the application
20:17:38 - SelfDrivingLogger - INFO - Connected to the application
20:18:28 - SelfDrivingLogger - INFO - Connected to the application
20:18:28 - SelfDrivingLogger - INFO - Connected to the application
20:19:02 - SelfDrivingLogger - WARNING - No left line was detected
20:19:02 - SelfDrivingLogger - WARNING - No left line was detected
20:19:02 - SelfDrivingLogger - WARNING - No left line was detected
20:19:02 - SelfDrivingLogger - WARNING - No left line was detected
20:19:03 - SelfDrivingLogger - WARNING - No left line was detected
20:19:03 - SelfDrivingLogger - WARNING - No left line was detected
20:19:04 - SelfDrivingLogger - WARNING - No left line was detected
20:19:04 - SelfDrivingLogger - WARNING - No left line was detected
20:19:14 - SelfDrivingLogger - WARNING - No left line was detected
20:19:14 - SelfDrivingLogger - WARNING - No left line was detected
20:19:14 - SelfDrivingLogger - WARNING - No left line was detected
20:19:14 - SelfDrivingLogger - WARNING - No left line was detected
20:19:15 - SelfDrivingLogger - WARNING - No left line was detected
20:19:15 - SelfDrivingLogger - WARNING - No left line was detected
20:19:15 - SelfDrivingLogger - WARNING - No left line was detected
20:19:15 - SelfDrivingLogger - WARNING - No left line was detected
20:19:15 - SelfDrivingLogger - WARNING - No left line was detected
20:19:15 - SelfDrivingLogger - WARNING - No left line was detected
20:19:15 - SelfDrivingLogger - WARNING - No left line was detected
20:19:15 - SelfDrivingLogger - WARNING - No left line was detected
20:19:16 - SelfDrivingLogger - WARNING - No left line was detected
20:19:16 - SelfDrivingLogger - WARNING - No left line was detected
20:19:16 - SelfDrivingLogger - WARNING - No left line was detected
20:19:16 - SelfDrivingLogger - WARNING - No left line was detected
20:19:16 - SelfDrivingLogger - WARNING - No left line was detected
20:19:16 - SelfDrivingLogger - WARNING - No left line was detected
20:19:16 - SelfDrivingLogger - WARNING - No left line was detected
20:19:16 - SelfDrivingLogger - WARNING - No left line was detected
20:19:16 - SelfDrivingLogger - WARNING - No left line was detected
20:19:16 - SelfDrivingLogger - WARNING - No left line was detected
20:19:16 - SelfDrivingLogger - WARNING - No left line was detected
20:19:16 - SelfDrivingLogger - WARNING - No left line was detected
20:19:17 - SelfDrivingLogger - WARNING - No left line was detected
20:19:17 - SelfDrivingLogger - WARNING - No left line was detected
20:19:17 - SelfDrivingLogger - WARNING - No left line was detected
20:19:17 - SelfDrivingLogger - WARNING - No left line was detected
20:19:17 - SelfDrivingLogger - WARNING - No left line was detected
20:19:17 - SelfDrivingLogger - WARNING - No left line was detected
20:19:17 - SelfDrivingLogger - WARNING - No left line was detected
20:19:17 - SelfDrivingLogger - WARNING - No left line was detected
20:19:17 - SelfDrivingLogger - WARNING - No left line was detected
20:19:17 - SelfDrivingLogger - WARNING - No left line was detected
20:19:17 - SelfDrivingLogger - WARNING - No left line was detected
20:19:17 - SelfDrivingLogger - WARNING - No left line was detected
20:19:17 - SelfDrivingLogger - WARNING - No left line was detected
20:19:17 - SelfDrivingLogger - WARNING - No left line was detected
20:19:17 - SelfDrivingLogger - WARNING - No left line was detected
20:19:17 - SelfDrivingLogger - WARNING - No left line was detected
20:19:18 - SelfDrivingLogger - WARNING - No left line was detected
20:19:18 - SelfDrivingLogger - WARNING - No left line was detected
20:19:18 - SelfDrivingLogger - WARNING - No left line was detected
20:19:18 - SelfDrivingLogger - WARNING - No left line was detected
20:19:18 - SelfDrivingLogger - WARNING - No left line was detected
20:19:18 - SelfDrivingLogger - WARNING - No left line was detected
20:19:18 - SelfDrivingLogger - WARNING - No left line was detected
20:19:18 - SelfDrivingLogger - WARNING - No left line was detected
20:19:20 - SelfDrivingLogger - WARNING - No right line was detected
20:19:20 - SelfDrivingLogger - WARNING - No right line was detected
20:19:21 - SelfDrivingLogger - WARNING - No left line was detected
20:19:21 - SelfDrivingLogger - WARNING - No left line was detected
20:19:24 - SelfDrivingLogger - WARNING - No right line was detected
20:19:24 - SelfDrivingLogger - WARNING - No right line was detected
20:19:53 - SelfDrivingLogger - INFO - Connected to the application
20:19:53 - SelfDrivingLogger - INFO - Connected to the application
20:20:26 - SelfDrivingLogger - WARNING - No left line was detected
20:20:26 - SelfDrivingLogger - WARNING - No left line was detected
20:20:26 - SelfDrivingLogger - WARNING - No left line was detected
20:20:26 - SelfDrivingLogger - WARNING - No left line was detected
20:20:26 - SelfDrivingLogger - WARNING - No left line was detected
20:20:26 - SelfDrivingLogger - WARNING - No left line was detected
20:20:28 - SelfDrivingLogger - WARNING - No left line was detected
20:20:28 - SelfDrivingLogger - WARNING - No left line was detected
20:20:28 - SelfDrivingLogger - WARNING - No left line was detected
20:20:28 - SelfDrivingLogger - WARNING - No left line was detected
20:20:38 - SelfDrivingLogger - WARNING - No left line was detected
20:20:38 - SelfDrivingLogger - WARNING - No left line was detected
20:20:39 - SelfDrivingLogger - WARNING - No left line was detected
20:20:39 - SelfDrivingLogger - WARNING - No left line was detected
20:20:39 - SelfDrivingLogger - WARNING - No left line was detected
20:20:39 - SelfDrivingLogger - WARNING - No left line was detected
20:20:39 - SelfDrivingLogger - WARNING - No left line was detected
20:20:39 - SelfDrivingLogger - WARNING - No left line was detected
20:20:39 - SelfDrivingLogger - WARNING - No left line was detected
20:20:39 - SelfDrivingLogger - WARNING - No left line was detected
20:20:39 - SelfDrivingLogger - WARNING - No left line was detected
20:20:39 - SelfDrivingLogger - WARNING - No left line was detected
20:20:39 - SelfDrivingLogger - WARNING - No left line was detected
20:20:39 - SelfDrivingLogger - WARNING - No left line was detected
20:20:40 - SelfDrivingLogger - WARNING - No left line was detected
20:20:40 - SelfDrivingLogger - WARNING - No left line was detected
20:20:40 - SelfDrivingLogger - WARNING - No left line was detected
20:20:40 - SelfDrivingLogger - WARNING - No left line was detected
20:20:40 - SelfDrivingLogger - WARNING - No left line was detected
20:20:40 - SelfDrivingLogger - WARNING - No left line was detected
20:20:40 - SelfDrivingLogger - WARNING - No left line was detected
20:20:40 - SelfDrivingLogger - WARNING - No left line was detected
20:20:40 - SelfDrivingLogger - WARNING - No left line was detected
20:20:40 - SelfDrivingLogger - WARNING - No left line was detected
20:20:40 - SelfDrivingLogger - WARNING - No left line was detected
20:20:40 - SelfDrivingLogger - WARNING - No left line was detected
20:20:40 - SelfDrivingLogger - WARNING - No left line was detected
20:20:40 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
